id,name,state_id,country_id
272,Rochdale,3,1
273,Rutland,3,1
274,Shrewsbury,3,1
275,Southbridge,3,1
276,South Grafton,3,1
277,South Lancaster,3,1
278,Spencer,3,1
279,Sterling,3,1
280,Sturbridge,3,1
281,Upton,3,1
282,Uxbridge,3,1
283,Webster,3,1
284,Dudley,3,1
285,Westborough,3,1
286,West Boylston,3,1
287,West Brookfield,3,1
288,Whitinsville,3,1
289,Sutton,3,1
290,Worcester,3,1
291,Cherry Valley,3,1
292,Paxton,3,1
293,Framingham,3,1
294,Acton,3,1
295,Boxborough,3,1
296,Ashland,3,1
297,Bedford,3,1
298,Hanscom Afb,3,1
299,Bolton,3,1
300,Carlisle,3,1
301,Concord,3,1
302,Fayville,3,1
303,Holliston,3,1
304,Hopedale,3,1
305,Hopkinton,3,1
306,Hudson,3,1
307,Marlborough,3,1
308,Maynard,3,1
309,Mendon,3,1
310,Milford,3,1
311,Natick,3,1
312,Sherborn,3,1
313,Southborough,3,1
314,Lincoln,3,1
315,Stow,3,1
316,Sudbury,3,1
317,Wayland,3,1
318,Woburn,3,1
319,Burlington,3,1
320,Andover,3,1
321,Billerica,3,1
322,Chelmsford,3,1
323,Dracut,3,1
324,Dunstable,3,1
325,Haverhill,3,1
326,Georgetown,3,1
327,Groveland,3,1
328,Lawrence,3,1
329,Methuen,3,1
330,North Andover,3,1
331,Lowell,3,1
332,Merrimac,3,1
333,North Billerica,3,1
334,North Chelmsford,3,1
335,North Reading,3,1
336,Reading,3,1
337,Tewksbury,3,1
338,Tyngsboro,3,1
339,Wakefield,3,1
340,Westford,3,1
341,Wilmington,3,1
342,Winchester,3,1
343,Lynn,3,1
344,Saugus,3,1
345,Swampscott,3,1
346,Nahant,3,1
347,Amesbury,3,1
348,Beverly,3,1
349,Boxford,3,1
350,Byfield,3,1
351,Danvers,3,1
352,Essex,3,1
353,Gloucester,3,1
354,Hathorne,3,1
355,Ipswich,3,1
356,Lynnfield,3,1
357,Manchester,3,1
358,Marblehead,3,1
359,Middleton,3,1
360,Newburyport,3,1
361,Newbury,3,1
362,Salisbury,3,1
363,Peabody,3,1
364,Prides Crossing,3,1
365,Rockport,3,1
366,Rowley,3,1
367,Salem,3,1
368,South Hamilton,3,1
369,Topsfield,3,1
370,Wenham,3,1
371,West Newbury,3,1
372,Bellingham,3,1
373,Canton,3,1
374,Cohasset,3,1
375,Dedham,3,1
376,Dover,3,1
377,East Walpole,3,1
378,Foxboro,3,1
379,Franklin,3,1
380,Hingham,3,1
381,Hull,3,1
382,Humarock,3,1
383,Mansfield,3,1
384,Marshfield,3,1
385,Medfield,3,1
386,Medway,3,1
387,Millis,3,1
388,Norfolk,3,1
389,Norwell,3,1
390,Norwood,3,1
391,Scituate,3,1
392,Sharon,3,1
393,South Walpole,3,1
394,Stoughton,3,1
395,Walpole,3,1
396,Westwood,3,1
397,Wrentham,3,1
398,Boston,3,1
399,Roxbury,3,1
400,Roxbury Crossing,3,1
401,Dorchester,3,1
402,Dorchester Center,3,1
403,Mattapan,3,1
404,South Boston,3,1
405,East Boston,3,1
406,Charlestown,3,1
407,Jamaica Plain,3,1
408,Roslindale,3,1
409,West Roxbury,3,1
410,Allston,3,1
411,Brighton,3,1
412,Hyde Park,3,1
413,Cambridge,3,1
414,Somerville,3,1
415,Malden,3,1
416,Everett,3,1
417,Chelsea,3,1
418,Revere,3,1
419,Winthrop,3,1
420,Medford,3,1
421,Quincy,3,1
422,Melrose,3,1
423,Stoneham,3,1
424,Braintree,3,1
425,Milton,3,1
426,Weymouth,3,1
427,East Weymouth,3,1
428,South Weymouth,3,1
429,North Weymouth,3,1
430,Brockton,3,1
431,Avon,3,1
432,Bridgewater,3,1
433,Carver,3,1
434,Duxbury,3,1
435,East Bridgewater,3,1
436,Halifax,3,1
437,Hanover,3,1
438,Hanson,3,1
439,Holbrook,3,1
440,Middleboro,3,1
441,Lakeville,3,1
442,Monponsett,3,1
443,Abington,3,1
444,North Easton,3,1
445,Pembroke,3,1
446,Plymouth,3,1
447,Kingston,3,1
448,South Carver,3,1
449,Plympton,3,1
450,Randolph,3,1
451,Rockland,3,1
452,South Easton,3,1
453,West Bridgewater,3,1
454,Whitman,3,1
455,Lexington,3,1
456,Brookline,3,1
457,Waltham,3,1
458,Babson Park,3,1
459,Newton,3,1
460,Newton Center,3,1
461,Newtonville,3,1
462,Newton Highlands,3,1
463,Newton Lower Falls,3,1
464,Newton Upper Falls,3,1
465,West Newton,3,1
466,Auburndale,3,1
467,Chestnut Hill,3,1
468,Waban,3,1
469,Watertown,3,1
470,Arlington,3,1
471,Belmont,3,1
472,Wellesley Hills,3,1
473,Wellesley,3,1
474,Needham,3,1
475,Weston,3,1
476,Needham Heights,3,1
477,Buzzards Bay,3,1
478,Cataumet,3,1
479,Chilmark,3,1
480,East Falmouth,3,1
481,East Sandwich,3,1
482,East Wareham,3,1
483,Edgartown,3,1
484,Falmouth,3,1
485,Woods Hole,3,1
486,Monument Beach,3,1
487,Nantucket,3,1
488,North Falmouth,3,1
489,Oak Bluffs,3,1
490,Onset,3,1
491,Pocasset,3,1
492,Sagamore,3,1
493,Sagamore Beach,3,1
494,Sandwich,3,1
495,Siasconset,3,1
496,Vineyard Haven,3,1
497,Wareham,3,1
498,West Tisbury,3,1
499,West Wareham,3,1
500,Hyannis,3,1
501,Barnstable,3,1
502,Brewster,3,1
503,Centerville,3,1
504,Chatham,3,1
505,Cotuit,3,1
506,Cummaquid,3,1
507,Dennis,3,1
508,Dennis Port,3,1
509,East Dennis,3,1
510,Eastham,3,1
511,East Orleans,3,1
512,Forestdale,3,1
513,Harwich,3,1
514,Harwich Port,3,1
515,Hyannis Port,3,1
516,Marstons Mills,3,1
517,Mashpee,3,1
518,North Chatham,3,1
519,North Truro,3,1
520,Orleans,3,1
521,Osterville,3,1
522,Provincetown,3,1
523,South Chatham,3,1
524,South Dennis,3,1
525,South Wellfleet,3,1
526,South Yarmouth,3,1
527,Truro,3,1
528,Wellfleet,3,1
529,West Barnstable,3,1
530,West Dennis,3,1
531,West Harwich,3,1
532,West Hyannisport,3,1
533,West Yarmouth,3,1
534,Yarmouth Port,3,1
535,Assonet,3,1
536,Attleboro,3,1
537,Cuttyhunk,3,1
538,Dighton,3,1
539,East Freetown,3,1
540,East Taunton,3,1
541,Fairhaven,3,1
542,Fall River,3,1
543,Somerset,3,1
544,Marion,3,1
545,Mattapoisett,3,1
546,New Bedford,3,1
547,Acushnet,3,1
548,North Dartmouth,3,1
549,South Dartmouth,3,1
550,North Attleboro,3,1
551,Plainville,3,1
552,Attleboro Falls,3,1
553,North Dighton,3,1
554,Norton,3,1
555,Raynham,3,1
556,Rehoboth,3,1
557,Rochester,3,1
558,Seekonk,3,1
559,Swansea,3,1
560,Berkley,3,1
561,Taunton,3,1
562,Westport,3,1
563,Westport Point,3,1
564,Albion,4,1
565,Ashaway,4,1
566,Barrington,4,1
567,Block Island,4,1
568,Bradford,4,1
569,Bristol,4,1
570,Carolina,4,1
571,Charlestown,4,1
572,Chepachet,4,1
573,Clayville,4,1
574,Coventry,4,1
575,West Greenwich,4,1
576,East Greenwich,4,1
577,Exeter,4,1
578,Fiskeville,4,1
579,Forestdale,4,1
580,Foster,4,1
581,Glendale,4,1
582,Greene,4,1
583,Greenville,4,1
584,Harmony,4,1
585,Harrisville,4,1
586,Hope,4,1
587,Hope Valley,4,1
588,Hopkinton,4,1
589,Jamestown,4,1
590,Kenyon,4,1
591,Little Compton,4,1
592,Manville,4,1
593,Mapleville,4,1
594,Newport,4,1
595,Middletown,4,1
596,North Kingstown,4,1
597,North Scituate,4,1
598,Oakland,4,1
599,Pascoag,4,1
600,Pawtucket,4,1
601,Central Falls,4,1
602,Cumberland,4,1
603,Lincoln,4,1
604,Portsmouth,4,1
605,Prudence Island,4,1
606,Rockville,4,1
607,Saunderstown,4,1
608,Shannock,4,1
609,Slatersville,4,1
610,Tiverton,4,1
611,Wakefield,4,1
612,Kingston,4,1
613,Narragansett,4,1
614,Warren,4,1
615,Warwick,4,1
616,Westerly,4,1
617,West Kingston,4,1
618,West Warwick,4,1
619,Wood River Junction,4,1
620,Woonsocket,4,1
621,North Smithfield,4,1
622,Wyoming,4,1
623,Providence,4,1
624,Cranston,4,1
625,North Providence,4,1
626,East Providence,4,1
627,Riverside,4,1
628,Rumford,4,1
629,Smithfield,4,1
630,Johnston,4,1
631,Amherst,5,1
632,Auburn,5,1
633,Brookline,5,1
634,Candia,5,1
635,Chester,5,1
636,Deerfield,5,1
637,Derry,5,1
638,Epping,5,1
639,Francestown,5,1
640,Fremont,5,1
641,Goffstown,5,1
642,Dunbarton,5,1
643,Greenfield,5,1
644,Greenville,5,1
645,Hollis,5,1
646,Hudson,5,1
647,Litchfield,5,1
648,Londonderry,5,1
649,Merrimack,5,1
650,Milford,5,1
651,Mont Vernon,5,1
652,Nashua,5,1
653,New Boston,5,1
654,New Ipswich,5,1
655,Pelham,5,1
656,Raymond,5,1
657,Salem,5,1
658,Lyndeborough,5,1
659,Temple,5,1
660,Wilton,5,1
661,Windham,5,1
662,Manchester,5,1
